"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"PFS","CYT_Rooney","ICB_small_Padron",-1.128,0.316,45,0.000356701949838807,"Pancreas","PD-1/PD-L1",0.00823064712157514
"PFS","Teff-IFNG_Fehrenbacher","ICB_small_Padron",-1.221,0.358,45,0.000658451769726011,"Pancreas","PD-1/PD-L1",0.00823064712157514
"PFS","CYT_Davoli","ICB_small_Padron",-1.005,0.321,45,0.00175502879479818,"Pancreas","PD-1/PD-L1",0.0146252399566515
"PFS","CCL5-CXCL9_Dangaj","ICB_small_Padron",-1.103,0.38,45,0.0037218285901622,"Pancreas","PD-1/PD-L1",0.0232614286885137
"PFS","Inflammatory_Thompson","ICB_small_Padron",-1.108,0.4,45,0.00560478812124364,"Pancreas","PD-1/PD-L1",0.0233532838385152
"PFS","Teff_McDermott","ICB_small_Padron",-0.942,0.338,45,0.00527021645626928,"Pancreas","PD-1/PD-L1",0.0233532838385152
"PFS","TIS_Damotte","ICB_small_Padron",-0.906,0.363,45,0.0124687901415087,"Pancreas","PD-1/PD-L1",0.0445313933625311
"PFS","PredictIO_Bareche","ICB_small_Padron",-0.645,0.276,45,0.0193696705025115,"Pancreas","PD-1/PD-L1",0.0605302203203486
"PFS","IMS_Cui","ICB_small_Padron",0.867,0.416,45,0.0373611146811169,"Pancreas","PD-1/PD-L1",0.0849116242752658
"PFS","PassON_Du","ICB_small_Padron",-1.47,0.698,45,0.035252850936807,"Pancreas","PD-1/PD-L1",0.0849116242752658
"PFS","VIGex_Hernando-Calvo","ICB_small_Padron",-0.846,0.393,45,0.0315134713549096,"Pancreas","PD-1/PD-L1",0.0849116242752658
"PFS","MHC-II_Liu","ICB_small_Padron",-1.474,0.74,45,0.0464282412209956,"Pancreas","PD-1/PD-L1",0.0967255025437408
"PFS","IPRES_Hugo","ICB_small_Padron",2.246,1.19,45,0.0590635268489211,"Pancreas","PD-1/PD-L1",0.113583705478695
"PFS","IPS_Charoentong","ICB_small_Padron",-0.321,0.179,45,0.0729883836596346,"Pancreas","PD-1/PD-L1",0.130336399392205
"PFS","IRG_Ayers","ICB_small_Padron",-0.358,0.205,45,0.0809746181876312,"Pancreas","PD-1/PD-L1",0.134957696979385
"PFS","IFN_Ayers","ICB_small_Padron",-0.364,0.218,45,0.0948212985612446,"Pancreas","PD-1/PD-L1",0.143660508255137
"PFS","M1_Hwang","ICB_small_Padron",-1.428,0.871,45,0.101093478847514,"Pancreas","PD-1/PD-L1",0.143660508255137
"PFS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Padron",0.819,0.503,45,0.103435565943698,"Pancreas","PD-1/PD-L1",0.143660508255137
"PFS","MHC-I_Liu","ICB_small_Padron",-0.851,0.652,45,0.191784310338449,"Pancreas","PD-1/PD-L1",0.252347776761118
"PFS","Chemokine_Messina","ICB_small_Padron",-0.493,0.407,45,0.225851600953028,"Pancreas","PD-1/PD-L1",0.282314501191285
"PFS","EMTstroma_Wang","ICB_small_Padron",0.45,0.397,45,0.256323887616247,"Pancreas","PD-1/PD-L1",0.305147485257437
"PFS","EMT_Thompson","ICB_small_Padron",-0.43,0.551,45,0.435289946806931,"Pancreas","PD-1/PD-L1",0.494647666826057
"PFS","IPSOV_Shen","ICB_small_Padron",-1.399,1.974,45,0.478590384764219,"Pancreas","PD-1/PD-L1",0.520206939961108
"PFS","PDL1_Nishino","ICB_small_Padron",-0.219,0.343,45,0.523318328987259,"Pancreas","PD-1/PD-L1",0.545123259361728
"PFS","COX-IS_Bonavita","ICB_small_Padron",-0.097,0.23,45,0.672143521361784,"Pancreas","PD-1/PD-L1",0.672143521361784
