signature,association,method,score function,PMID,information
ADO_Sidders,resistance,GSVA,geneSigGSVA,31953314,"Gene expression signature capturing the adenosine (ADO) pathway activity. This adenosine signature was significantly associated with reduced efficacy of anti-PD1 therapy in published cohorts.
"
APM_Thompson,sensitive,GSVA,geneSigGSVA,33028693,Gene expression signature capturing the antigen processing and presentation machinery (APM). This signature was predictor of response of ICB in non-small cell lung cancer and melanoma patients.
APM_Wang,sensitive,GSVA,geneSigGSVA,31767055,Gene expression signature capturing the antigen processing and presentation machinery (APM).
Bcell_Budczies,sensitive,GSVA,geneSigGSVA,33520406,Gene expression signature capturing the B-cells activity. This B_cell signature was a predictor of the response of PD-(L)1 blockade in lung cancer patients.
Bcell_Helmink,sensitive,GSVA,geneSigGSVA,31942075,Gene expression signature capturing the B-cells activity. This B_cell signature was a predictor of the response of ICB in published cohorts.
Blood_Friedlander,sensitive,GSVA,geneSigGSVA,28807052,"Gene expression signature, derieved from whole-blood RNA-Sequencing, capturing the expression level of genes associated with response to CTLA-4 blockade."
C-ECM_Chakravarthy,resistance,ssGSEA,geneSigssGSEA,30410077,Gene expression signature capturing the cancer extracellular matrix (C_ECM) marker genes activity. This C_ECM signature was a predictor of the failure of PD-1 blockade and outperforms previously-proposed biomarkers.
CCL5-CXCL9_Dangaj,sensitive,GSVA,geneSigGSVA,31185212,Gene expression signature capturing tumors infiltrated with CD8 T cells. This signature was a predictor of the response of ICB in published cohorts of combination or sequential immunotherapy with anti-PD1 and anti-CTLA4.
CD39-CD8Tcell_Chow,resistance,GSVA,geneSigGSVA,36574773,Gene expression signature capturing CD39+ CD8+ T cells. This signature was obtained from single-cell CITE/RNA/TCR sequencing of intratumoral CD3+ T cells from non-small cell lung cancer (NSCLC) biospecimens. This signature was a predictor of the response of anti-PD-L1 in a dataset of baseline NSCLC tumors.
CD8_Sade-Feldman,sensitive,GSVA,geneSigGSVA,30388456,Gene expression signature capturing the CD8 T cell activity. This CD8 signature was a predictor of the response of ICB published cohorts.
Chemokine_Messina,sensitive,GSVA,geneSigGSVA,23097687,Gene expression signature capturing the presence of ectopic lymphoid structure. This signature was predictor of  survival of multiple tumor types (PMID 4267760)
